Minisector,OCO,MAG,Fastest
0,286.27942367830684,290.78344347638284,MAG
1,167.37428874618888,166.1850885764935,OCO
2,172.9460212909319,167.05690922225563,OCO
3,256.6998269929845,249.98263314471075,OCO
4,282.05441426813246,285.1911488129293,MAG
5,248.39834896563147,248.61599134199136,MAG
6,226.42246060426305,219.58412827791508,OCO
7,153.73037064104716,150.68382341927273,OCO
8,227.87242872533716,227.8379532967033,OCO
9,277.7653551111011,278.6628905533747,MAG
10,297.37973965866667,297.361124992,OCO
11,304.7195412181325,306.1354178181139,MAG
12,308.5627975619048,311.05921049263156,MAG
13,302.3232251571119,308.31585582717935,MAG
14,129.05288206306878,131.58644066302307,MAG
15,120.29724731951518,119.6196146122029,OCO
16,102.9957940074984,103.8778534194076,MAG
17,235.6740494062573,232.07843333574107,OCO
18,285.16321606566896,285.4402777777778,MAG
19,305.04333379963424,306.52463888973705,MAG
20,315.2644172971824,318.0247453695219,MAG
21,317.3389908583554,318.6811788048553,MAG
22,131.20081582302342,127.73477149078346,OCO
23,202.59347244444447,201.90506567045205,OCO
24,269.01516339308756,269.60086952546584,MAG
