Minisector,BOT,KVY,Fastest
0,260.46958825253944,270.5763802486683,KVY
1,127.97376075698023,130.5518698025251,KVY
2,199.7058418713599,198.44529013156335,BOT
3,249.5677565681332,246.2715849681681,BOT
4,261.11200323331275,261.31089986845035,KVY
5,173.8250127719009,178.92904218350353,KVY
6,148.58009484201762,146.5190663398858,BOT
7,187.84972934813374,182.62852812571225,BOT
8,102.3018259137728,101.6960107736629,BOT
9,73.43682820148234,72.67782985544258,BOT
10,95.18489328724894,93.14577890863053,BOT
11,186.22823158731606,182.0240939306083,BOT
12,248.1137978048852,244.70265481722095,BOT
13,273.19842151036636,269.189131928469,BOT
14,286.2705907685698,277.64869599880427,BOT
15,118.1388824123364,111.60401124842048,BOT
16,144.35502842014236,145.59685023896,KVY
17,187.14288683657304,187.8021130199135,KVY
18,200.6414766416405,196.75269707045814,BOT
19,212.40826729354444,211.95446716596211,BOT
20,138.62345877016028,133.06596047355498,BOT
21,114.27818175361158,108.09696948589144,BOT
22,94.0186509874342,94.61889248083119,KVY
23,196.1465654717165,197.472617655602,KVY
24,254.2392102869235,250.5750869857507,BOT
