Minisector,VET,KVY,Fastest
0,267.5128134790148,270.5763802486683,KVY
1,129.48903428993637,130.5518698025251,KVY
2,200.656002362292,198.44529013156335,VET
3,250.49417123220232,246.2715849681681,VET
4,264.2025578072658,261.31089986845035,VET
5,173.07805855700605,178.92904218350353,KVY
6,142.35569847796899,146.5190663398858,KVY
7,183.39871334419834,182.62852812571225,VET
8,100.06488931323997,101.6960107736629,KVY
9,72.93139594008987,72.67782985544258,VET
10,93.73847195072713,92.40005379219099,VET
11,182.8733216605777,176.88492726394162,VET
12,248.06122401088436,243.34025560718402,VET
13,271.26603503569635,269.189131928469,VET
14,282.6308991748247,280.50540375866456,VET
15,117.21595383131825,115.5968655403011,VET
16,142.61169641085024,145.59685023896,KVY
17,181.31651829333333,187.8021130199135,KVY
18,197.69217585202875,195.73895801881693,VET
19,200.03645363641857,212.12366343451978,KVY
20,129.64794721492981,133.06596047355498,KVY
21,109.5005810486907,109.53627159152451,KVY
22,94.82238950525048,93.7466131864509,VET
23,197.07777860045877,195.42688928240213,VET
24,253.20322454941004,249.42976904914127,VET
25,268.1666666666667,,VET
