Minisector,HAM,VER,Fastest
0,273.79089511073386,276.0863088253968,VER
1,289.60054292268376,292.0726189206349,VER
2,224.0494097715,238.62331280571286,VER
3,133.57981578533315,133.18490744963438,HAM
4,186.4806673202878,194.93567607619048,VER
5,125.86287764483005,128.0668880600451,VER
6,212.50847029333332,208.62552846755068,HAM
7,265.89732049882406,267.4409727111111,VER
8,186.6528033063782,195.919992224025,VER
9,183.3690630993753,178.7914778122449,HAM
10,264.09068247453416,263.30446553228865,HAM
11,192.75345730331827,203.54963023333335,VER
12,168.91007230607394,159.14918832343378,HAM
13,256.6732640284792,255.47883285333333,HAM
14,272.48778437432713,271.8796703608134,HAM
15,286.9172149984753,285.4907606260869,HAM
16,209.76315709460317,219.58470481709486,VER
17,204.80153925124233,199.1961069235023,HAM
18,247.39320849382716,241.52234782222965,HAM
19,282.86261394819354,281.3753619478261,HAM
20,293.03939374545456,291.2024942439909,HAM
21,211.0667981551594,230.53180616575412,VER
22,154.1966769417944,141.2828151101507,HAM
23,164.60127067517965,165.20948202609384,VER
24,227.25946109688013,220.42186322011548,HAM
25,260.31380698012947,259.8597219555556,HAM
