Minisector,PIA,MAG,Fastest
0,301.2524158813096,314.5837963407407,MAG
1,199.62330036145858,201.51222668031383,MAG
2,236.03623348053333,226.03264640266832,PIA
3,279.9132611963709,282.5409007554411,MAG
4,238.31397577885224,254.00040584415584,MAG
5,129.66536719063325,123.33825318099672,PIA
6,223.15131240551764,206.3568878607365,PIA
7,268.9375859063102,262.20892857142854,PIA
8,252.5363116856543,250.4709390109091,PIA
9,250.1593874609072,233.0814304075739,PIA
10,280.17433708259745,278.2311265632242,PIA
11,295.01169942689495,300.96803513904763,MAG
12,305.02270921625393,317.88925264550267,MAG
13,309.6212120242424,329.01480355146685,MAG
14,308.41293866666666,334.6904363384127,MAG
15,270.678614040381,267.1844696969697,PIA
16,253.32322842080785,234.76767859022388,PIA
17,283.46486187247166,281.4987012987013,PIA
18,294.40463902056825,302.00670108698415,MAG
19,155.3005154443908,160.32750549079634,MAG
20,213.57391159586493,203.00610934323996,PIA
21,188.24514302205293,185.2522484255083,PIA
22,138.31533166975507,130.21753641180555,PIA
23,238.12001956234218,234.12194553516352,PIA
24,284.21977788011844,280.976627397977,PIA
25,,295.2656248,MAG
