Minisector,HUL,GAS,Fastest
0,309.09458876453203,321.4198529611861,GAS
1,303.61039950145755,327.01813632717085,GAS
2,163.1046874984795,160.42738094386885,HUL
3,154.95796255142955,157.6957107794217,GAS
4,197.54646215555113,194.08835205605442,HUL
5,145.86017653355455,142.54584899854342,HUL
6,199.00099006202686,190.8810168868547,HUL
7,269.8241356629212,271.39958663655506,GAS
8,284.5924480654195,293.6546875761905,GAS
9,274.63611844033613,286.95226164537394,GAS
10,232.06083203734858,231.97673667200002,HUL
11,234.47724892230576,238.8424694240063,GAS
12,221.77635220136057,214.4123605013522,HUL
13,180.5257947658654,177.25940329977325,HUL
14,134.31934085321748,129.2900968101365,HUL
15,127.79100936124347,124.49296860006615,HUL
16,187.1276992505136,192.49885307249116,GAS
17,267.9936400020915,267.6675809010526,HUL
18,203.63670083889784,209.81243244307691,GAS
19,114.07525480468057,111.52383666298257,HUL
20,208.83661787543295,197.4923767415873,HUL
21,177.5288291657143,175.738112128032,HUL
22,243.42635891186882,247.43880148210528,GAS
23,278.5107110679365,279.1789543596435,GAS
24,304.954321292549,306.749012536381,GAS
25,,315.85500032,GAS
