Minisector,RUS,PIA,Fastest
0,272.5694943314286,271.5336618492517,RUS
1,252.32013932009687,253.51826428034445,PIA
2,124.0620412877295,120.17190481452204,RUS
3,162.59609288753106,173.24689340175428,PIA
4,184.0473147119192,200.84944543487757,PIA
5,199.82505707700267,195.3803418209524,RUS
6,263.33294694453053,262.5175089636431,RUS
7,285.3630109647771,283.01777423593785,RUS
8,233.23061154666667,245.29792770962965,PIA
9,150.08017265566139,147.30254243008548,RUS
10,118.88050758560591,119.80160014490043,PIA
11,160.90735530775683,167.43565706863635,PIA
12,247.0707373815204,245.6429095267725,RUS
13,157.2781364615873,163.77639214411877,PIA
14,145.41766910607984,148.03758017139424,PIA
15,106.56236003364133,109.63818163902755,PIA
16,215.39139168889312,212.6591622874334,RUS
17,254.6191523915444,239.1979855882616,RUS
18,128.52858121915804,127.9071856288634,RUS
19,239.01813308440637,234.1205234575238,RUS
20,273.4393386665226,272.0206850603214,RUS
21,200.32750723452506,223.55939398878385,PIA
22,150.76286049084533,148.52007845713007,RUS
23,216.78599623092146,221.43544682319487,PIA
24,230.82513053531338,230.65300067572346,RUS
25,255.875,257.2062496,PIA
