Minisector,VER,HAM,Fastest
0,246.1274349536471,252.37132080529685,HAM
1,283.1582261100144,288.08414703238094,HAM
2,182.5926925458093,181.29675380743498,VER
3,154.49304275008066,155.00061157803174,HAM
4,258.84620313870374,256.3872006399782,VER
5,265.087040115942,276.0830705430303,HAM
6,230.34828684028642,242.95835390085674,HAM
7,210.08045096688363,212.85091726575962,HAM
8,161.90825404606062,154.4203134119472,VER
9,212.54781054238626,218.13142598463352,HAM
10,268.9151384066667,272.92857509356423,HAM
11,125.34384569976264,127.17181453113196,HAM
12,215.19561850040247,214.34264928959985,VER
13,274.83219995196333,277.9817838918725,HAM
14,296.7111491492668,298.3856169196505,HAM
15,307.2406397908433,307.1550672650472,VER
16,245.0366996687482,233.84123239898577,VER
17,133.27931915655472,128.4202844833879,VER
18,132.48685953860726,128.92214321941393,VER
19,122.17765253862062,118.49131602748021,VER
20,225.8146022870963,227.91446960761903,HAM
21,261.01240610628724,260.5867714052003,VER
22,242.8589721249133,247.38339456234146,HAM
23,227.6909186507562,222.67968173478457,VER
24,140.63886228485993,138.00791635392935,VER
25,216.47169747525732,,VER
