Minisector,VER,NOR,Fastest
0,304.4366204325926,302.7773359030303,VER
1,230.39292127189248,230.78187451481824,NOR
2,130.12102893409525,135.63890714124778,NOR
3,208.8888770874123,219.24820695804368,NOR
4,262.05118551859647,264.13890248804233,NOR
5,286.5388513276552,287.14950534253967,NOR
6,299.66558875763735,300.0305273703156,NOR
7,280.5951806577778,276.69231821027074,VER
8,171.76714071630522,173.23310789082825,NOR
9,238.82368589784394,241.1883994259321,NOR
10,271.09287949602697,274.3091077851429,NOR
11,268.4260522964974,273.7088215051543,NOR
12,221.03211649477635,220.28194171243868,VER
13,124.88433515597771,135.86094315860583,NOR
14,126.57480787436354,124.94980131241988,VER
15,166.9280557203246,171.51464723924502,NOR
16,124.14104517493735,125.45379985110576,NOR
17,229.03514652767674,234.4353022576441,NOR
18,183.42696148986695,188.51292221936902,NOR
19,162.68438064744586,156.09514956287683,VER
20,245.87357417760504,248.1453325264485,NOR
21,273.302208380382,275.71112583496074,NOR
22,289.0044190574956,290.87758944803466,NOR
23,296.77246746771243,299.65710997048507,NOR
24,300.9350084454902,302.3982410013229,NOR
25,,304.0,NOR
