Minisector,RIC,OCO,Fastest
0,310.9730911078402,293.5753071803687,RIC
1,327.33684557714287,302.6990531393939,RIC
2,289.995809052105,283.4038168444444,RIC
3,110.66917481858022,116.7213987385477,OCO
4,230.7286960551724,216.93036814750923,RIC
5,287.2233594702762,276.0504880141283,RIC
6,226.94488925591398,216.15293469341756,RIC
7,172.91064572991925,165.63549517468044,RIC
8,214.5490093966029,212.97029505376344,RIC
9,226.175062181564,217.78835299235107,RIC
10,120.63839111845219,118.65248753410647,RIC
11,233.52106864890217,230.1745491862069,RIC
12,123.74912451121564,121.05254078134179,RIC
13,226.99170079064075,225.26854635086679,RIC
14,273.6720005546667,274.2413306236025,OCO
15,217.47412059301655,220.72790421663035,OCO
16,201.85286550680698,194.21869193142857,RIC
17,252.62061281410934,255.51086991462924,OCO
18,199.61812954590454,198.15047408761905,RIC
19,190.12192076523294,189.27243258340135,RIC
20,264.05740824733164,265.57878940820194,OCO
21,288.585253787131,289.3278197840413,OCO
22,168.00532612901998,169.97539686367818,OCO
23,220.8055434592396,216.01412787173027,RIC
24,274.090188389375,272.7884145818,RIC
25,285.64999893333334,285.9624992,OCO
