Minisector,VER,OCO,Fastest
0,252.8311068441294,257.09007261176424,OCO
1,210.529693956523,205.868289015873,VER
2,216.54428857631876,216.5300845596457,VER
3,256.7081730871795,254.48505438256356,VER
4,271.36693565290614,273.66000041813334,OCO
5,225.71824625287357,218.1491584251768,VER
6,101.72683054588343,94.00908797981867,VER
7,185.47883184439476,181.5942838270026,VER
8,264.92266683733334,267.9126049423616,OCO
9,286.25533859845837,290.8970488,OCO
10,292.5151516121212,300.1189353438228,OCO
11,286.2042967295328,300.28387626666665,OCO
12,114.34627042474209,110.76177790991935,VER
13,214.25268872258064,212.95688739714836,VER
14,271.2246627848383,275.1274043076923,OCO
15,288.3675346666667,297.37027611775653,OCO
16,224.67060463136926,220.3040343,VER
17,126.69004799752724,121.40983513540313,VER
18,156.9448089058201,151.4192916369698,VER
19,249.0096153846154,253.5015436472663,OCO
20,161.29020950898658,158.4210967321212,VER
21,134.84756438643845,127.26643493843456,VER
22,200.62421375100016,198.22752837194753,VER
23,207.9855037930303,203.05288885102453,VER
24,170.36406344,163.763000540697,VER
25,228.8750016,228.93749866666667,OCO
