Minisector,VET,KVY,Fastest
0,288.9560128389312,290.9664500516914,KVY
1,195.31111041645403,193.1788251836727,VET
2,226.29759110575327,227.68809272477392,KVY
3,270.5656829678134,272.76544071406926,KVY
4,239.26593070292478,227.6742561051396,VET
5,128.04067947484833,123.30442220770344,VET
6,212.72134436153647,213.46637389189146,KVY
7,257.1820789377453,256.82759420997905,VET
8,200.8530144789835,199.38497370377848,VET
9,205.5072982927861,210.56104548999156,KVY
10,262.09777634888826,263.3607372653868,KVY
11,208.28335376976048,198.36127884302357,VET
12,177.57257180786962,186.96681825496225,KVY
13,258.01124815920684,262.233715983203,KVY
14,280.3606951673824,280.3086174810666,VET
15,256.41401444848486,258.103649777643,KVY
16,236.81150490728706,244.63285993649123,KVY
17,272.0672619459619,274.2280380006691,KVY
18,285.47918932048896,286.7881218721715,KVY
19,176.7846103567655,175.7720442809105,VET
20,207.9322329052956,210.3094984439932,KVY
21,170.01089923896782,156.82488686748394,VET
22,140.8678400438401,151.16102186167566,KVY
23,238.16765482533688,244.89951171044757,KVY
24,276.67542165669676,283.4911595299919,KVY
