Minisector,LEC,ANT,Fastest
0,271.92916345907054,270.11808700739044,LEC
1,286.3072355629868,288.2040345099112,ANT
2,288.4145427660131,295.68827050047616,ANT
3,129.3123342064934,124.95537167786398,LEC
4,195.57962730188032,192.8022843710446,LEC
5,256.763449813404,256.70063806753245,LEC
6,143.54035364785167,143.55373028427732,ANT
7,206.16429723339937,201.38214019417256,LEC
8,259.0864491294118,255.25841576114286,LEC
9,275.41224195003065,279.6544335759626,ANT
10,239.64388426095238,236.47911455560697,LEC
11,185.03561584670075,183.49946373790775,LEC
12,191.1719229587547,189.9055423360593,LEC
13,146.03895202362145,142.47023906835977,LEC
14,178.14399308426303,173.0015454784699,LEC
15,159.24100279794038,160.82859864407098,ANT
16,216.11896715916356,215.68714461758105,LEC
17,243.41429753866848,237.7643436269022,LEC
18,248.62907375085715,240.35575773825292,LEC
19,244.63846103951514,232.12518598845534,LEC
20,148.29511254093143,144.31654102737826,LEC
21,128.12817451291858,134.78841202664063,ANT
22,163.99062531011913,168.10803214405254,ANT
23,154.37544650803324,152.67437545547685,LEC
24,228.61514517520936,230.05162248971618,ANT
25,257.42727272727274,,LEC
