Minisector,HUL,KVY,Fastest
0,292.1959597286771,290.9664500516914,HUL
1,198.5091798115909,193.1788251836727,HUL
2,221.55987782288997,227.68809272477392,KVY
3,271.6564498069684,272.76544071406926,KVY
4,232.77420586073174,227.6742561051396,HUL
5,122.75950430797089,123.30442220770344,KVY
6,206.46581038153892,213.46637389189146,KVY
7,254.2009144158749,256.2928637164933,KVY
8,205.71017457882826,201.77141133698152,HUL
9,206.1436891389674,210.56104548999156,KVY
10,262.9149570699043,263.3607372653868,KVY
11,209.30088898550306,198.36127884302357,HUL
12,175.09536209558155,186.96681825496225,KVY
13,258.4417436942186,262.233715983203,KVY
14,280.46732337499924,280.3086174810666,HUL
15,258.99834483712914,258.103649777643,HUL
16,234.77297402820074,244.63285993649123,KVY
17,270.48198891693147,274.2280380006691,KVY
18,284.4866250412815,286.7881218721715,KVY
19,169.8698176840363,175.7720442809105,KVY
20,209.4021072232241,210.3094984439932,KVY
21,168.39005315601264,158.95528921525377,HUL
22,141.11880482023128,149.2357318126842,KVY
23,238.13760936121764,244.89951171044757,KVY
24,278.7556361321202,283.4911595299919,KVY
25,289.76666666666665,,HUL
