Minisector,RIC,GIO,Fastest
0,273.90329634646906,271.8126738222222,RIC
1,291.1231061818182,288.4733134610969,RIC
2,222.7797265736563,222.64166569195402,RIC
3,129.60509225086523,126.9149977458458,RIC
4,186.31332673414,183.74460122740035,RIC
5,124.66590473349699,121.6591281866755,RIC
6,213.8192097924943,209.29019341291573,RIC
7,261.43458124094525,258.3929185128814,RIC
8,184.54098152926682,176.39738527137538,RIC
9,181.3831789468159,177.84226319937258,RIC
10,260.56448713815433,261.0945687238095,GIO
11,189.17923401699045,193.21579395048516,GIO
12,166.945366144053,161.86196646837607,RIC
13,253.99231951765762,254.27806575339358,GIO
14,270.7831631278935,268.7731626401656,RIC
15,283.29563504761904,282.41656775686107,RIC
16,209.0208538381791,202.391369,RIC
17,198.68489606666668,193.94605654761904,RIC
18,245.87942896731923,238.56408789559083,RIC
19,282.33876860289854,278.0085507246377,RIC
20,292.3112251912993,288.7465639203463,RIC
21,197.86924679951605,215.58811140860823,GIO
22,151.09377632581177,143.80613332987014,RIC
23,157.0112500068564,156.16275721032812,RIC
24,228.06815295036475,218.87427687314556,RIC
25,260.8333333333333,257.11428571428576,RIC
