Minisector,ALB,OCO,Fastest
0,257.845500054881,257.09007261176424,ALB
1,209.16110584761904,207.08292304761903,ALB
2,217.2010720136668,214.98226941715677,ALB
3,261.77403831794874,254.48505438256356,ALB
4,276.4433710010241,273.66000041813334,ALB
5,224.37761172493248,218.1491584251768,ALB
6,96.31874763410815,94.00908797981867,ALB
7,183.88852575294482,181.5942838270026,ALB
8,268.6954229343015,267.9126049423616,ALB
9,290.4425345777778,290.8970488,OCO
10,298.7719202782609,300.1189353438228,OCO
11,293.30185544032815,300.28387626666665,OCO
12,110.41165702342684,110.2230565471761,ALB
13,214.62982275003128,210.80706286598746,ALB
14,276.7666196485034,274.567000448,ALB
15,296.6190896758495,297.02724381285003,OCO
16,225.92368521255383,223.82217520860215,ALB
17,124.08642771682554,121.23144620554226,ALB
18,154.20515445194803,151.4192916369698,ALB
19,254.22154432320062,252.9439107106227,ALB
20,161.02600371036593,161.89836945939393,OCO
21,129.23707913043603,127.06273123473085,ALB
22,201.42219000871464,196.1638847041776,ALB
23,209.56768708257897,203.05288885102453,ALB
24,168.26094404619786,163.763000540697,ALB
25,,228.93749866666667,OCO
