Minisector,PIA,GAS,Fastest
0,299.2296970354545,304.15355164160155,GAS
1,305.6160056532383,321.71708413415985,GAS
2,308.62339573048126,329.5032636165079,GAS
3,302.19914682539684,306.39016647162794,GAS
4,172.91500081574605,155.1040266288845,PIA
5,215.51718338686817,208.9596364838788,PIA
6,245.51820669018633,233.34452887923248,PIA
7,271.15977745775325,268.9977425511111,PIA
8,261.3758834527442,244.56213472858497,PIA
9,169.49386663449354,156.89993203105763,PIA
10,224.8332769341082,215.62334929173085,PIA
11,135.00481511698095,124.82089643844738,PIA
12,232.85445702216177,223.19235888920906,PIA
13,181.08650312622333,171.73231136994625,PIA
14,221.57684891927275,218.522847270559,PIA
15,249.26826578434898,242.34289819382417,PIA
16,270.74850894857144,266.53642870718613,PIA
17,288.419704892506,288.53534095327734,GAS
18,157.9105687597279,148.9629290605848,PIA
19,179.11075612164257,161.6747642185145,PIA
20,143.52062682617853,138.468147168551,PIA
21,236.037381277308,229.28092192625644,PIA
22,267.7938158135338,260.9644460047331,PIA
23,258.0944134433417,250.46132016206542,PIA
24,279.9615820746572,277.81353994542724,PIA
