Minisector,VER,PIA,Fastest
0,302.81042324208096,290.4676541915344,VER
1,320.9425540958153,303.5136298389318,VER
2,324.96913834505625,304.98699999999997,VER
3,190.7572188303069,191.09633881345218,PIA
4,209.28034535863011,207.36876778740708,VER
5,205.26255249576374,207.38472556088848,PIA
6,264.7614975425246,264.2928072931554,VER
7,255.43011802905244,254.63593682121362,VER
8,210.01373869883562,208.07931590865235,VER
9,207.01931175423377,208.59911117960255,PIA
10,142.31887698215826,147.4139466319478,PIA
11,195.28547883753723,200.48484263274116,PIA
12,182.86279717068064,183.9202676935359,PIA
13,245.4992186088889,246.48518771486295,PIA
14,173.9457192090476,174.0380102130445,PIA
15,232.29880832662528,230.2167735760221,VER
16,274.9499654995011,273.8650139215119,VER
17,279.2964865206349,278.07066646810966,VER
18,273.59921724836937,270.1977303070038,VER
19,256.5621184562186,258.6068309022476,PIA
20,254.52126699089948,258.82587514628574,PIA
21,255.71545048629588,256.7865771258307,PIA
22,222.61687171868132,226.89381520697495,PIA
23,201.01702149334292,196.79743778563372,VER
24,266.5798073194805,266.2021199811338,VER
25,284.13250048,281.56562479999997,VER
