Minisector,MAG,PER,Fastest
0,309.8539604730718,311.1361691155077,PER
1,236.42812732350885,231.61163921579723,MAG
2,137.11643635474715,134.29714308705232,MAG
3,222.28342783905782,217.37926878710147,MAG
4,265.02474284650594,263.2795640607121,MAG
5,289.9477764838692,290.2388497019537,PER
6,305.1804931604635,304.44027797333337,MAG
7,294.82577136929166,278.20804649415174,MAG
8,175.75478577532152,172.28655924073922,MAG
9,238.53545313688437,241.5455655900873,PER
10,272.8653445881503,275.59314844249684,PER
11,271.2309632266554,258.71126202798285,MAG
12,203.88523355048756,202.24888225741373,MAG
13,130.05936973856527,126.11088213060374,MAG
14,126.02630675736748,127.17333023424817,PER
15,166.06724304007017,167.54694608952667,PER
16,125.06770556622608,128.2715175089108,PER
17,232.69650437424752,231.19474570938985,MAG
18,187.967539347953,178.44106440774354,MAG
19,163.49992030091573,173.14956865802836,PER
20,249.671454321513,250.34511191598853,PER
21,278.12773456142764,278.8450197340419,PER
22,298.3773251648665,296.4294271885017,MAG
23,316.9898159526923,307.7808686079364,MAG
24,327.24122841964316,312.9752778666667,MAG
25,329.4476988926664,,MAG
