Minisector,SAI,ALB,Fastest
0,272.17129408163174,270.0180205203021,SAI
1,289.1543593155561,289.2386081079039,ALB
2,296.1207687223702,296.98177066666665,ALB
3,127.51456586593315,130.27870083109622,ALB
4,198.84271774022076,193.3433580697059,SAI
5,256.34135076995744,258.2981968374712,ALB
6,137.9074025236084,144.91102894813267,ALB
7,209.18219503745587,201.96003920183588,SAI
8,260.2691827113215,257.8691989182867,SAI
9,281.0676013700984,281.3487368740083,ALB
10,227.4223971052598,234.84787594894314,ALB
11,176.4593927270857,181.2664001844017,ALB
12,196.09369908623805,189.72611830536945,SAI
13,145.00853189133312,146.53206020148113,ALB
14,175.5710948073312,174.17855266922965,SAI
15,158.0859243005374,161.74924859943988,ALB
16,217.9143785188634,212.50245641516247,SAI
17,235.20947304111468,238.29393731680352,ALB
18,240.8154426014327,238.45053118656102,SAI
19,245.53257734740754,247.18453262154935,ALB
20,144.1730223468516,142.18977795526487,SAI
21,132.31239531348194,140.30266169576134,ALB
22,170.7510953365446,168.46998410761805,SAI
23,149.46009258460572,151.79585334462183,ALB
24,233.5954905001954,226.83524449510546,SAI
25,,257.1166677333333,ALB
