Minisector,PER,KVY,Fastest
0,310.036088095577,338.06706171951225,KVY
1,224.3753319290508,268.7070096916104,KVY
2,136.59143792087073,126.84751417046914,PER
3,220.08861939538127,218.82916666666665,PER
4,263.8904336620457,262.75478294581364,PER
5,289.39579839278605,289.0152057743316,PER
6,304.9785932388598,305.0,KVY
7,267.96392730671516,290.541238147081,KVY
8,172.20407566527717,177.413174427975,KVY
9,242.86073678807534,240.94585182567266,PER
10,273.8802471590505,271.5865671705156,PER
11,259.0293553125792,262.1324263802954,KVY
12,204.94960732997265,204.13717106512965,PER
13,125.41753575173796,133.5080098008576,KVY
14,126.37600982487542,125.16634406048738,PER
15,164.24418902351937,171.42809348685583,KVY
16,128.3023109108276,122.39316896268257,PER
17,229.84144392255607,229.71774216604302,PER
18,177.71055764590443,187.2298813388211,KVY
19,168.28400383072238,163.038624940857,PER
20,248.29277799927877,246.57066127694148,PER
21,275.9436930876389,277.90874762570786,KVY
22,292.1398803202233,292.336864075257,KVY
23,304.86259418976556,303.0760544157587,PER
24,309.8848253717196,308.9348475583911,PER
25,312.0,310.0,PER
