Minisector,VER,SAI,Fastest
0,258.03360541239806,260.1430043954122,SAI
1,142.81434521857452,135.47697307709294,VER
2,267.23931426359115,270.79884798657594,SAI
3,309.5471247167947,308.8304657519367,VER
4,308.93986303070574,309.40908586666666,SAI
5,316.4362698677954,317.81708572952215,SAI
6,320.40943751991114,322.04634195670997,SAI
7,315.25015123793946,324.71407531467054,SAI
8,200.12117152163347,196.87861640019366,VER
9,203.83725697655584,205.33775070632225,SAI
10,182.15068124935857,188.0551959997915,SAI
11,179.9828601284034,178.42668180121169,VER
12,256.94816409274733,256.5182839658456,VER
13,276.1770801323232,285.267334814602,SAI
14,284.7842705773754,287.5152698746921,SAI
15,270.6744672741895,271.82947614150675,SAI
16,185.611725059839,172.69564999284268,VER
17,195.9304409401905,194.04297676577778,VER
18,247.97801415749322,251.93328879246897,SAI
19,289.1390577196372,292.06587280471905,SAI
20,308.9846604181242,308.5326124974206,VER
21,314.50964284675325,315.03017451702243,SAI
22,309.11239733434064,313.80279441015267,SAI
23,252.50604064287745,271.10714776780395,SAI
24,121.10290275421488,111.44360526542462,VER
25,231.3875,223.62500114285714,VER
