Minisector,ALO,LEC,Fastest
0,268.8880529741497,265.1446063542857,ALO
1,134.90745638722973,135.792294853815,LEC
2,194.4936299845695,196.8109128392425,LEC
3,244.33248270534799,244.86854475174604,LEC
4,259.69479077528746,261.1557843326984,LEC
5,178.80554473870825,175.82918255427379,ALO
6,147.74691929816797,144.72831159394383,ALO
7,178.83154474065958,184.69678121757207,LEC
8,98.6298882333448,102.52935221192881,LEC
9,74.60279587870582,71.94417274590477,ALO
10,89.91537950316759,96.93172712280452,LEC
11,174.844750974683,183.21884877641722,LEC
12,242.48221240334777,243.53101866384878,LEC
13,266.4530619820408,268.50464282340135,LEC
14,276.59847626779316,280.34806438857146,LEC
15,117.07487753267672,108.13008525649106,ALO
16,145.02427779446342,148.00959434343434,LEC
17,180.49478121142857,184.1929540883781,LEC
18,196.89294009481483,199.8912377942246,LEC
19,218.33466942201431,213.8819206593264,ALO
20,134.24842773705927,135.79264157274727,LEC
21,108.99966608809987,109.86051559217688,LEC
22,93.67173636662358,101.71384991106048,LEC
23,196.27677742010357,203.64434139495555,LEC
24,249.01159464313528,249.94179618354977,LEC
25,263.3812464,,ALO
