Minisector,LEC,VER,Fastest
0,269.03541758548755,270.5256615556303,VER
1,249.33055917928377,240.80448319117713,LEC
2,118.80898722234048,121.73127766845856,VER
3,167.15712449738376,168.2604899474475,VER
4,198.8161285503952,202.4192625520879,VER
5,195.1946039913975,199.23404592263202,VER
6,263.10566543588124,266.68534974107996,VER
7,287.4404449879681,285.70817600842105,LEC
8,242.85034999549782,239.47863061424638,LEC
9,142.09556889681124,147.7678778604711,VER
10,108.39018548828497,109.23948562204784,VER
11,147.546904845225,149.2814767057657,VER
12,240.28465353142857,245.1244131326407,VER
13,152.29644538166752,151.70255365122824,LEC
14,138.66110110782833,150.68933022627348,VER
15,106.49931243671328,109.97238610977209,VER
16,210.68582307133948,217.1238436751515,VER
17,240.48573599670524,237.49288274813424,LEC
18,128.35303820051948,126.71563577138781,LEC
19,237.85130570846698,241.53266784878798,VER
20,275.7252657960173,274.43593232761907,LEC
21,210.79389371359943,199.42178575581605,LEC
22,138.98880737697283,145.58148890717504,VER
23,212.7863544093091,221.00283150928172,VER
24,218.64529847147392,228.302763204042,VER
25,254.7285741714286,,LEC
