Minisector,RUS,ALB,Fastest
0,275.80130517238564,276.20412872093516,ALB
1,299.7228269073302,299.2438947866932,RUS
2,298.02484026177444,295.6139722503111,RUS
3,174.47677096527585,162.8866623256437,RUS
4,117.24324141092235,117.62087100338763,ALB
5,232.862470593204,240.79181806244583,ALB
6,291.3266953875441,296.6623004913971,ALB
7,310.4321728200867,309.7899473381756,RUS
8,173.06411174276968,163.41274031845182,RUS
9,136.12902455238952,138.20061970247573,ALB
10,247.71966454970018,250.80135456578333,ALB
11,289.5451546331653,290.1923422158126,ALB
12,303.50462308622224,299.92158767392357,RUS
13,281.7539099540072,274.7764928178987,RUS
14,298.4671053152882,295.4576087095652,RUS
15,299.00580799353537,292.9902675595307,RUS
16,249.80988220181717,240.77066554053638,RUS
17,226.16972245772075,225.84199580205424,RUS
18,281.70112498649934,288.7119577774105,ALB
19,313.30346329212125,318.8458286597577,ALB
20,320.88692719914724,315.56846737212123,RUS
21,220.07810825536944,211.99520782800835,RUS
22,252.983890507475,256.3482559855315,ALB
23,130.80740097106155,123.32441241043874,RUS
24,204.79574384927244,215.18835346365134,ALB
25,256.48125120000003,,RUS
