Minisector,OCO,ERI,Fastest
0,263.5352902339416,258.2372324917872,OCO
1,134.89015989817386,132.62161459697558,OCO
2,265.9996618892377,260.75794386075535,OCO
3,307.8847750359008,299.105166848,OCO
4,307.07521047960887,296.2716665721905,OCO
5,313.64822592513576,301.7631667626667,OCO
6,319.0496528,306.41076391111113,OCO
7,316.90973375508753,308.22683332266666,OCO
8,202.70608284929736,207.8866210356498,ERI
9,197.67253924736164,197.44161475995378,OCO
10,185.04012116462587,194.7412424174708,ERI
11,161.15457744344428,159.4672462148409,OCO
12,252.7158346361215,248.45535847916835,OCO
13,277.4052467753086,279.7474701714286,ERI
14,278.2662501058495,278.589411997674,ERI
15,269.69751189659866,281.26243541446206,ERI
16,185.23250200121194,186.47750316836735,ERI
17,188.78099214144154,193.30865744417596,ERI
18,242.48396921691787,239.95882775791088,OCO
19,289.4865710384762,285.18488064900407,OCO
20,312.93883332266665,303.75672089523806,OCO
21,319.7383453371981,309.43066666666664,OCO
22,318.89484326623415,308.8239583555556,OCO
23,261.13339875002646,265.2331912480159,ERI
24,113.37889197945454,115.18618537450281,ERI
25,229.27860287815048,226.69999786666668,OCO
