Minisector,RUS,BOR,Fastest
0,277.9330932276543,273.063454228872,RUS
1,303.36295900734694,296.3483473389356,RUS
2,315.944142934026,309.33855545060266,RUS
3,323.6873304302155,316.08103830316287,RUS
4,326.20944041295235,319.69645833333334,RUS
5,329.08337721008405,321.53799999999995,RUS
6,202.1230960326041,199.4247691319862,RUS
7,108.80412694395636,105.79723102768429,RUS
8,192.19309991658628,189.74703412313428,RUS
9,261.7201061948773,259.6857724439877,RUS
10,290.7011537723077,289.95667463517464,RUS
11,162.23741296803843,165.59804842206498,BOR
12,99.43098763612647,100.53775101057082,BOR
13,116.46206075204458,117.18910855645278,BOR
14,221.08059703161905,221.89958673355184,BOR
15,193.11063609015875,189.57833612018257,RUS
16,225.18371546174606,224.4861510809364,RUS
17,183.88795892110522,182.3662347690924,RUS
18,242.56783323846872,234.85351473922904,RUS
19,280.4236399607018,277.18390629,RUS
20,241.89883562426067,239.87835146358805,RUS
21,150.51136990355934,147.9533699851926,RUS
22,98.35343960674523,94.02364162369074,RUS
23,126.63027973090453,124.8479929731904,RUS
24,228.20143461280563,220.71621237575758,RUS
25,257.8045463272727,255.7125008,RUS
