Minisector,ALO,NOR,Fastest
0,273.77403319838385,274.75472158776336,NOR
1,294.44881273993826,292.9058367216971,ALO
2,288.13740700422363,292.803332418355,NOR
3,163.71957841150098,169.53534308098514,NOR
4,118.26760601081557,116.98481762666768,ALO
5,232.35601236752635,233.83825422593856,NOR
6,287.565809513347,287.95131092487094,NOR
7,299.77808468533334,303.2100790707644,NOR
8,171.74944309090193,168.38659207687687,ALO
9,134.78519338742396,138.576739526453,NOR
10,247.09588533315193,248.60262171992707,NOR
11,284.6558429246216,285.9899491555652,NOR
12,290.97382840666666,291.34082536098356,NOR
13,277.1295345088831,266.56930057200776,ALO
14,294.6944179642526,288.3774294634243,ALO
15,297.29711288989375,290.9639130323428,ALO
16,241.23595957611718,236.19751109348337,ALO
17,217.44612524565767,219.90752571656267,NOR
18,279.4346618312743,281.04556627516894,NOR
19,310.3653327617095,313.1144119216204,NOR
20,313.4759100393369,317.8472166213244,NOR
21,222.04484645226358,226.61879999577923,NOR
22,253.41010752839057,257.3827177491597,NOR
23,128.06345368505347,128.3372801363537,NOR
24,214.19734426027085,216.42509125728722,NOR
