Minisector,HAM,MSC,Fastest
0,286.12484583672517,295.54921399602216,MSC
1,289.5014498294612,307.10966698666664,MSC
2,171.75073935952815,164.89709396651637,HAM
3,224.53462861687785,216.65418164299143,HAM
4,270.80764398571426,268.08038075933194,HAM
5,291.34841477235767,286.9977777840506,HAM
6,294.9640283835828,293.9221727238095,HAM
7,168.47631374216112,188.3169104279123,MSC
8,124.42911916941904,120.161212252821,HAM
9,246.63255778285716,244.9748872292641,HAM
10,282.8187104474272,280.8854199547339,HAM
11,294.82546732952386,288.51420624762176,HAM
12,136.64678131355458,147.01528146787598,MSC
13,194.1077834001517,183.69045698132584,HAM
14,256.8367627115458,251.25132518977773,HAM
15,191.26800949371636,196.97276057840176,MSC
16,217.30149687329663,210.25386988032335,HAM
17,210.40134839731093,208.77220983848926,HAM
18,240.53083779794775,234.57592665881893,HAM
19,274.59449708095696,270.6806020261661,HAM
20,292.0356724850356,287.54067932888887,HAM
21,258.89404171286526,257.53200632800787,HAM
22,225.2635017324043,220.088619656922,HAM
23,200.17262941822474,195.72707064853392,HAM
24,259.6657084776419,258.25239627669174,HAM
25,275.7656256,277.75,MSC
