Minisector,HAM,TSU,Fastest
0,288.00955376,287.77412266666664,HAM
1,300.50671318518516,294.47543848421054,HAM
2,176.38266084923478,163.42377418039214,HAM
3,223.92565310068315,217.43884917414553,HAM
4,270.3555185338032,270.23452413968255,HAM
5,288.1826391111111,291.7120368592593,TSU
6,292.1257919921212,297.9898804902365,TSU
7,181.99013039124665,172.6577297363511,HAM
8,128.60628170563575,119.28236866818052,HAM
9,248.57776562433403,245.1386277932976,HAM
10,279.8774663534742,285.205184044883,TSU
11,290.11493260405825,302.127632,TSU
12,156.02174545933775,142.33088776979602,HAM
13,192.40232423207522,185.73524589931975,HAM
14,258.7009354376417,257.04049516587014,HAM
15,218.68130294423298,202.42623379753084,HAM
16,225.61544612877364,203.38794169497953,HAM
17,227.8454235410212,204.95110801867315,HAM
18,247.12215806060604,241.03359179792963,HAM
19,274.7320912159145,276.42017536106124,TSU
20,289.8489218915421,296.00895987969926,TSU
21,271.0741253614035,249.94246105396823,HAM
22,235.84687771488368,212.44124657271192,HAM
23,204.94582685266727,203.46033939753087,HAM
24,261.3940652000411,264.8558309390579,TSU
25,278.6333333333333,,HAM
