Minisector,BOT,NOR,Fastest
0,276.9809084471609,274.4910276063492,BOT
1,296.8944444888889,294.77466958444506,BOT
2,292.6165397921453,290.74183325866665,BOT
3,187.89973813583356,187.24597082143208,BOT
4,119.86469431585638,116.46859981529934,BOT
5,235.49785051499492,236.33888330603816,NOR
6,282.9558244577383,280.82126390165325,BOT
7,290.34775565128206,291.3691522778594,NOR
8,179.14481528093376,178.59179489780294,BOT
9,139.09953197345445,135.98546489620603,BOT
10,250.39864573548658,248.63499606567473,BOT
11,287.9993335954286,286.1247783153046,BOT
12,298.26495300334864,297.6422454581529,BOT
13,278.38408875018314,279.7985438940621,NOR
14,294.43725165640103,293.826165752381,BOT
15,292.3334994773333,290.8768128857515,BOT
16,250.07106082294055,243.07177386666666,BOT
17,220.89962191515153,222.94086796493286,NOR
18,275.8942934421899,276.69370955634366,NOR
19,298.8330002773333,296.14810671637946,BOT
20,298.1639562180665,294.70524460485495,BOT
21,232.19648359386397,227.37382175834648,BOT
22,256.9784399521658,253.87126664247646,BOT
23,138.86783164096352,137.40246981331686,BOT
24,212.29737035373404,214.91443239645082,NOR
25,257.0500032,,BOT
