Minisector,PER,OCO,Fastest
0,288.6397721974026,290.7130440811594,OCO
1,308.49145808,311.9947370907268,OCO
2,305.7766456815719,312.2299989333334,OCO
3,182.2444287111111,177.22948591886933,PER
4,220.67785437037037,219.78045242101925,PER
5,201.61621990861013,197.6822867024531,PER
6,187.40393234747475,182.2347939128947,PER
7,209.57052090628002,214.36508619770115,OCO
8,257.79267391158004,258.93992206492163,OCO
9,258.7723446626966,259.28195300206556,OCO
10,171.3071874088466,167.62401127017543,PER
11,240.82245306666667,242.3513592686817,OCO
12,121.34584503175931,118.1942001078588,PER
13,228.81521939625696,230.32950488493827,OCO
14,277.60948647808533,279.1499889383037,OCO
15,286.45578369658,291.4248379844156,OCO
16,201.8357354470046,200.88492356229708,PER
17,184.42265489524456,179.0484837910534,PER
18,271.4616060444444,271.0832300766228,PER
19,298.77666629333334,302.6767852952381,OCO
20,311.1651759094647,315.7548389738284,OCO
21,311.1968720909443,316.0821274526316,OCO
22,272.07466003993966,260.5678175504439,PER
23,118.36070722273563,114.97214727355686,PER
24,243.37962832592595,240.869747904,PER
25,,277.1071414857143,OCO
