Minisector,NOR,HAD,Fastest
0,319.71333023084173,310.1523725850882,NOR
1,240.84653807147336,222.8023448363285,NOR
2,129.85030908955352,126.55675089440105,NOR
3,236.72067580739375,234.1184942503212,NOR
4,196.1231607297764,182.10627827848037,NOR
5,249.2836188221734,240.51030740083897,NOR
6,230.68742944981838,221.57492931433268,NOR
7,260.0649944886388,253.15277138637853,NOR
8,291.17905451487184,292.474913847285,HAD
9,197.58007837365804,206.08790223294767,HAD
10,209.1558472557249,200.13039154015988,NOR
11,269.239098523498,274.6284121904762,HAD
12,216.072835099309,212.8837847582275,NOR
13,257.12716630167085,241.93512946184575,NOR
14,294.96455112546585,292.3245192819899,NOR
15,309.47342302676674,316.2993204640021,HAD
16,304.41412992151,320.35220753492064,HAD
17,202.9613627267475,204.74233963359984,HAD
18,263.68560196560384,255.4612616457336,NOR
19,298.5363380113572,297.4970302710303,NOR
20,310.3173429719807,316.06245627227855,HAD
21,304.28588624427886,322.4012916506666,HAD
22,156.4574531734915,152.81424240799637,NOR
23,232.6050742562018,222.6068734692791,NOR
24,289.5746377391304,291.44958418184063,HAD
25,,306.11,HAD
