Minisector,LEC,VET,Fastest
0,295.8840655353868,311.08023084058203,VET
1,304.6342263957672,328.15225534292694,VET
2,297.4296431197884,314.35888145074455,VET
3,115.48915027844048,115.85901643251839,VET
4,230.65071724045123,224.867078020843,LEC
5,269.8171942850506,264.61720430903756,LEC
6,217.8868947031759,211.8197110212552,LEC
7,169.17467147345585,160.4047903747009,LEC
8,204.84270441587952,195.33160087130221,LEC
9,222.1117505523845,212.42994570469747,LEC
10,117.75683213334308,114.55979080411464,LEC
11,235.6302047239898,230.8547290256728,LEC
12,120.21018216868191,117.73671009229297,LEC
13,228.35918829174292,225.8143904460047,LEC
14,276.6785488635118,272.4610729195065,LEC
15,223.17121735446267,216.24124213854572,LEC
16,205.17751295218915,199.71488018791473,LEC
17,259.46097751881905,251.46840598566794,LEC
18,208.18437884634196,200.72484172846077,LEC
19,187.81926435139164,187.16208291868244,LEC
20,273.47341670703736,270.74763768526327,LEC
21,297.4959279932571,292.8184062812078,LEC
22,173.79722414151766,167.90265591624095,LEC
23,216.70313113560266,208.9193796330573,LEC
24,275.5222917831382,273.8242980730242,LEC
25,,287.47499946666665,VET
