Minisector,VER,PIA,Fastest
0,291.5482581220366,281.41193589589466,VER
1,314.87677596444445,297.1509896133333,VER
2,315.8849427393939,292.7499294309957,VER
3,187.49424217510239,176.90728374419444,VER
4,221.14195666772437,219.63944437239388,VER
5,211.6972399452058,204.5053058970116,VER
6,178.12842927238097,180.81261752598638,PIA
7,206.5869924238832,206.1911880304932,VER
8,257.4549095821026,257.8975311226712,PIA
9,270.2975783856003,268.29596217683945,VER
10,169.52043953797377,167.00949794504132,VER
11,234.93876503564485,235.58164815703225,PIA
12,125.67105923817931,116.25906173561847,VER
13,220.20778030980193,217.47863490999822,VER
14,276.1218340774839,274.6158489751734,VER
15,293.19500112118305,289.23799095802696,VER
16,212.03919818419755,219.86636175405766,PIA
17,190.14199240055444,185.1123919390336,VER
18,267.27476448854594,265.2254212365764,VER
19,290.51712552571956,291.4125503935956,PIA
20,300.9118908011838,303.1545572169759,PIA
21,301.86437249009526,304.40080490203275,PIA
22,270.8582076453974,272.5903614319081,PIA
23,118.13473645986744,115.50995621667083,VER
24,237.69804000592924,231.39645855837628,VER
25,,265.6250016,PIA
