Minisector,VET,OCO,Fastest
0,265.98218536769076,263.5352902339416,VET
1,135.91671917497592,134.89015989817386,VET
2,264.66343350217363,265.9996618892377,OCO
3,305.1273004746085,308.1083839704648,OCO
4,303.70749994666664,306.80855264959257,OCO
5,309.7817708,313.64822592513576,OCO
6,313.84751158306875,319.0496528,OCO
7,315.03478265507243,316.90973375508753,OCO
8,213.4068847814672,201.49663202752052,VET
9,201.9285391814672,200.122201406435,VET
10,190.3242525262014,181.65500210068026,VET
11,164.51781062788112,163.21979483474863,VET
12,253.94535719619046,254.56810479598778,OCO
13,280.07109350174346,276.8499998857143,VET
14,283.9392857494505,279.28512134676663,VET
15,282.494443784127,268.96898058271603,VET
16,187.79441368273712,186.02372147630433,VET
17,197.30267045559845,188.27144084708257,VET
18,244.65635755548746,244.87751760401466,OCO
19,291.1169287619048,291.34221574212455,OCO
20,309.82458573760186,313.64076085797103,OCO
21,316.17088000764335,319.7909142814815,OCO
22,316.3083580888889,319.05130817458553,OCO
23,271.65444486097437,242.46296649787507,VET
24,117.86588611666667,115.51063602596372,VET
25,230.93333333333334,,VET
