Minisector,PER,STR,Fastest
0,293.1804784509987,289.4317739342443,PER
1,159.39277975001878,156.53977192260584,PER
2,151.79101892176723,150.5271768,PER
3,226.0874715051688,226.59328814992267,STR
4,285.28398323116886,284.9747701842607,PER
5,284.12968573333336,286.5326069068323,STR
6,143.77326712550266,143.30192345855784,PER
7,143.91307599367664,143.15170684223602,PER
8,143.60953237232428,142.87311409442393,PER
9,183.77062424001062,184.90809616328727,STR
10,133.15770975711874,133.92715523031734,STR
11,122.29718096161024,124.39291382733778,STR
12,167.39764025783666,162.8319133069597,PER
13,267.6228339626667,265.1042756123336,PER
14,287.62559546320347,286.79184774492757,PER
15,150.55887417642478,154.06284041360544,STR
16,212.82872672554666,206.7334608891434,PER
17,173.31901762005012,168.46455704502839,PER
18,273.1757943387915,269.31770737777777,PER
19,296.17480179954646,294.25489113043477,PER
20,309.6692029737881,308.38439703238095,PER
21,317.09708336,316.6950395936508,PER
22,320.2139584,319.6377192421052,PER
23,323.131547631746,321.1229165866667,PER
24,320.2280073864662,319.47625008,PER
25,315.07499946666667,315.1333333333333,STR
