Minisector,HAD,LIN,Fastest
0,280.42188096628036,286.6610577086734,LIN
1,287.62189117254525,298.07635535792207,LIN
2,273.3648128051098,277.7716888306138,LIN
3,174.14522480774056,172.81781342265634,HAD
4,116.22647836035298,118.05259711655675,LIN
5,244.25856073612465,241.35406886911076,HAD
6,285.8601324901587,284.7042564055831,HAD
7,291.8989922873252,289.32007487639805,HAD
8,175.80023461869487,171.118119823666,HAD
9,140.53437143710602,135.7291486360381,HAD
10,257.76695751566376,255.44090442992564,HAD
11,292.22595248761905,289.8607748273292,HAD
12,292.95138828270177,288.26015934533694,HAD
13,267.67752550937814,263.95316576474806,HAD
14,281.3620535714286,280.1648645524595,HAD
15,276.43307166333966,270.1584671124402,HAD
16,245.48765432098767,231.01410841737032,HAD
17,219.06336697747128,218.84415150222222,HAD
18,275.55518922358857,282.36396090313366,LIN
19,297.4031570858035,301.84906995092433,LIN
20,296.7013888888889,301.8311441802498,LIN
21,228.856237597551,217.10821255967016,HAD
22,238.21803412557574,244.46806220404886,LIN
23,134.160701360842,133.27223867220223,HAD
24,213.2107631709789,216.0992372258544,LIN
