Minisector,STR,RIC,Fastest
0,297.8149891590329,294.7381722548303,STR
1,306.8290818612245,303.8365075809524,STR
2,312.7625001025641,309.9431735779389,STR
3,313.6955782965987,311.33052703129255,STR
4,203.30725846511524,198.39588116642304,STR
5,94.57309253333334,99.94889713717261,RIC
6,196.36272777437037,202.4369753435166,RIC
7,254.901226227451,255.16651647942368,RIC
8,282.708334,281.8884331610327,STR
9,286.5452504910441,291.5937514666667,RIC
10,149.54688795202821,151.99517484625852,RIC
11,166.9013466588268,171.22284413642683,RIC
12,239.99019708235295,238.37786392760412,STR
13,242.93200883809524,237.677629922807,STR
14,147.41515867543347,150.89819811785415,RIC
15,205.08174775873016,211.19216107180713,RIC
16,258.7328877714286,259.71540775727965,RIC
17,282.2589367511235,280.8897314095238,STR
18,295.64920663365075,292.96940630719064,STR
19,299.6997221688889,300.6238891377778,RIC
20,284.95838081652346,286.7391353160573,RIC
21,147.86758580603873,147.7531397804848,STR
22,201.81468464761903,205.33718904000003,RIC
23,257.7928615093756,255.48435722685022,STR
24,284.7636120888889,280.41055509333336,STR
25,,289.6736415118794,RIC
