Minisector,MAG,ZHO,Fastest
0,293.5486719873836,287.99708257829485,MAG
1,303.1865474342857,296.7718796062156,MAG
2,278.48645626755473,278.6314242266474,ZHO
3,103.97092355702395,105.76234073035629,ZHO
4,220.41636084666666,219.13095024344594,MAG
5,271.58587961984136,268.71025074444447,MAG
6,210.99164856047,211.5167707697218,ZHO
7,153.0938099180124,157.19839122560813,ZHO
8,214.14388550860147,206.33993446062377,MAG
9,211.03039824525447,211.7496937045302,ZHO
10,108.87027341003481,117.87458933626831,ZHO
11,226.60325126480038,224.1738114488889,MAG
12,117.7898784040635,118.07085732315656,ZHO
13,220.0269413480635,213.9187340941848,MAG
14,275.994728636152,269.8101731568254,MAG
15,208.26839637151926,218.28087814048595,ZHO
16,181.9707526289705,178.65022975970615,MAG
17,248.37609903379186,242.265121382196,MAG
18,200.27090445098796,208.50253866133335,ZHO
19,171.7366655266924,171.9557072191832,ZHO
20,259.7936647328423,256.1160741596135,MAG
21,289.5221531689697,282.52821391109717,MAG
22,168.5602011698475,173.35683799177653,ZHO
23,208.82287987411138,201.12427527074829,MAG
24,271.3874955630623,266.43307240874003,MAG
25,,280.7833329777778,ZHO
