Minisector,ANT,LEC,Fastest
0,305.7710233904762,300.4947222044445,ANT
1,149.59390983526694,152.55851679253968,LEC
2,209.15069765946953,210.97986267990382,LEC
3,287.00770877128724,286.1302578944219,ANT
4,317.67803590965985,311.78088507809525,ANT
5,318.5442703666667,312.0963042074074,ANT
6,176.95796220690883,178.8262097479844,LEC
7,120.15099152698937,118.36155951719982,ANT
8,253.14564792380952,253.74668032902997,LEC
9,298.2693878072122,289.32798973490196,ANT
10,297.7870795169565,289.47141331877316,ANT
11,133.58786584398385,136.7309584870356,LEC
12,180.99582141522242,175.7506535572534,ANT
13,248.80830802575963,242.59578539517628,ANT
14,189.0205591303716,189.6628742731136,LEC
15,193.04662853986176,195.99832702476192,LEC
16,190.05023255024125,200.32855157502647,LEC
17,237.55670332179417,236.48490406704764,ANT
18,281.53064337814635,279.38321261985186,ANT
19,296.5244206469418,289.6323093346878,ANT
20,243.171009216,245.45600520409474,LEC
21,203.3892474005964,206.2540730393162,LEC
22,190.973556352,187.22197195237027,ANT
23,273.21603696919635,268.12823800942357,ANT
24,307.01502716349376,300.9411149543487,ANT
25,,303.0,LEC
