Minisector,NOR,ALO,Fastest
0,249.36069129225442,248.77384104085237,NOR
1,284.1860209253333,286.4922116850017,ALO
2,158.75548451663593,163.2409804989399,ALO
3,170.0749862029426,155.3433466268216,NOR
4,257.49087904447066,255.41413012752832,NOR
5,265.4170667444976,269.05824499478257,ALO
6,235.1989538881119,238.09988273808003,ALO
7,207.5551718727104,213.48907305385623,ALO
8,163.213173869325,157.66807675416163,NOR
9,221.05940045113255,217.36221382793264,NOR
10,272.17483367915895,271.6819629549311,NOR
11,130.47539843823537,126.86096825195804,NOR
12,216.93100083065661,205.59692954301588,NOR
13,275.87538988549846,276.16751557163417,ALO
14,298.88293145333336,296.70113813571504,NOR
15,308.4552631578947,306.2023533925926,NOR
16,247.18691331200134,252.38793295925927,ALO
17,130.45736889063338,128.59794973043427,NOR
18,131.0572226082526,127.28352257386534,NOR
19,122.7413453426708,117.93170715196351,NOR
20,221.5910517934118,217.30673108182455,NOR
21,248.4787757484737,259.9890637644479,ALO
22,245.51051887542857,242.94622835505,NOR
23,222.76179913035114,213.4645923242601,NOR
24,135.49343724937188,134.84256057977274,NOR
25,216.0888888888889,214.59259164444447,NOR
