Minisector,SAI,GAS,Fastest
0,260.90882352941173,254.77754554074076,SAI
1,135.0827144802577,128.83396971077792,SAI
2,195.25463530199323,200.95000175238096,GAS
3,243.91484593837535,248.17100056669173,GAS
4,259.9450385134029,261.3600076380952,GAS
5,184.6173218024652,178.36772957441812,SAI
6,152.57786600070546,142.9623373608642,SAI
7,185.42283182129142,186.57983217628416,GAS
8,103.66576454971947,104.67042133726463,GAS
9,79.1596799921428,78.45897922501088,SAI
10,93.62398021485409,94.05118901907097,GAS
11,179.75371397813785,180.4199794815735,GAS
12,245.2406191283469,248.45395792002319,GAS
13,267.5584126984127,270.9733340444444,GAS
14,280.10087876158485,269.2517024166291,SAI
15,121.25864428464294,114.0993553555715,SAI
16,142.58571820241698,142.1805689162411,SAI
17,194.93076280762193,191.7848386340999,SAI
18,198.22511904761905,197.6798832714404,SAI
19,220.00119248117622,211.3143752533333,SAI
20,131.83569177946262,132.65001031184184,GAS
21,117.55610667740883,115.96823141999636,SAI
22,93.30744299810338,90.8406132016515,SAI
23,195.80000096507933,195.70233242476257,SAI
24,246.7794159922542,249.69019672380952,GAS
