Minisector,LEC,SAI,Fastest
0,237.54768283061009,232.34062553319205,LEC
1,287.59235618622307,281.3192551619048,LEC
2,303.1949699899354,293.98019776294353,LEC
3,309.9636157013151,298.72366248988465,LEC
4,268.6471653681669,261.15943290732883,LEC
5,171.31254093332274,167.06279875320226,LEC
6,267.0585447383432,262.6826870276051,LEC
7,285.77874890927865,280.229876969697,LEC
8,220.44815776688225,213.43043737163381,LEC
9,226.05128339924903,224.52150925042014,LEC
10,184.44266421203673,178.38650982815713,LEC
11,227.36564670164577,227.81659318422345,SAI
12,210.32387910747016,206.809128662542,LEC
13,216.45474494754157,211.4428321357709,LEC
14,227.37618839961502,226.42036127670357,LEC
15,184.81074349788852,176.16489727106023,LEC
16,252.7855169402003,249.85010178573265,LEC
17,292.13089893356874,284.3529304328526,LEC
18,305.89702389841267,295.92454219745235,LEC
19,301.6601901286389,282.0833449703839,LEC
20,133.94418149284485,128.9896808329074,LEC
21,165.7557472485355,151.94871566543094,LEC
22,149.2613210154159,165.26491615293426,SAI
23,208.71683581282332,193.634317382673,LEC
24,149.61363455311027,145.8620621756487,LEC
25,191.31799690229371,,LEC
