Minisector,NOR,PIA,Fastest
0,322.22814069943473,314.2054420209606,NOR
1,319.4497992072804,309.64751586871796,NOR
2,169.95047516814947,156.9437824515193,NOR
3,163.74573246476191,161.53675195593152,NOR
4,200.48259446194243,203.6902899178939,PIA
5,150.32876751324682,157.70311338666457,PIA
6,207.16824905627982,209.7138672103266,PIA
7,272.6069833743916,274.36031926827553,PIA
8,293.0217024795592,291.26173498560377,NOR
9,288.96514733803923,281.83135954040404,NOR
10,240.00432407685884,243.49657456995334,PIA
11,241.10552996692786,248.02639557099488,PIA
12,220.42458668654245,219.50163583135847,NOR
13,174.7665390971492,175.02692382273727,PIA
14,142.02820744701768,137.2999228081417,NOR
15,133.70627446133105,132.66515031130578,NOR
16,207.14592621714286,203.8506256451505,NOR
17,272.17052913015874,271.9304155561084,NOR
18,200.98616366506667,203.9933576129086,PIA
19,114.38360308569008,115.80767457436473,PIA
20,212.3542848914286,210.19618350459584,NOR
21,189.05060596236558,190.75175921760376,PIA
22,252.6782899321905,246.7351613799626,NOR
23,276.3172021285714,280.5715859805519,PIA
24,303.0339587131345,306.96673766543415,PIA
25,313.0,,NOR
