Minisector,RUS,STR,Fastest
0,272.014822944903,277.4108591586671,STR
1,289.03812139384416,307.09037680761907,STR
2,293.30763691,301.3835380027018,STR
3,122.39319860934786,118.77225514158731,RUS
4,196.60840051870755,208.37964736388184,STR
5,254.99527361539714,256.580104694026,STR
6,142.02651767046584,130.02270219588166,RUS
7,203.4021225722964,203.11928027647446,RUS
8,257.5935510103258,255.76821965424674,RUS
9,279.3702032597572,274.88973246535943,RUS
10,237.90740729795917,227.95791396363637,RUS
11,174.52274708816327,171.05255528870376,RUS
12,199.02251216412986,191.624664558472,RUS
13,143.64002179056016,136.31878270518519,RUS
14,180.1342947949882,173.73154929162098,RUS
15,167.01539560489798,158.93883605866668,RUS
16,222.3036780376227,220.01395478294467,RUS
17,238.62742818684805,228.2656960453515,RUS
18,244.38520360182778,241.7972629057668,RUS
19,234.02638770539684,213.92995518222222,RUS
20,151.38185928669992,149.42262111209905,RUS
21,127.29663651006436,126.54396331223543,RUS
22,171.78599759868638,166.1271004016813,RUS
23,156.63600058085217,149.94532313590753,RUS
24,231.82329760415584,229.1949501815873,RUS
