Minisector,VET,GRO,Fastest
0,267.5128134790148,259.3791192043248,VET
1,129.48903428993637,129.78847407746164,GRO
2,200.656002362292,198.53270439880833,VET
3,250.49417123220232,245.2774095797258,VET
4,264.2025578072658,257.0794256201351,VET
5,173.07805855700605,176.09171914029716,GRO
6,142.35569847796899,147.54675842838887,GRO
7,183.39871334419834,178.36278195488723,VET
8,100.06488931323997,100.33568799088314,GRO
9,72.93139594008987,71.9332120356622,VET
10,93.73847195072713,91.02930960301013,VET
11,182.8733216605777,173.29581474413703,VET
12,248.06122401088436,242.1113830606059,VET
13,271.26603503569635,266.2503565367233,VET
14,282.6308991748247,277.49717893413776,VET
15,117.21595383131825,119.21091885754743,GRO
16,142.61169641085024,136.5546997238765,VET
17,181.31651829333333,194.5886991696712,GRO
18,197.69217585202875,193.16069327842536,VET
19,200.03645363641857,214.85289125143862,GRO
20,129.64794721492981,137.7530409565504,GRO
21,109.5005810486907,124.74614200894399,GRO
22,94.82238950525048,83.87563920268134,VET
23,197.07777860045877,187.04275574117193,VET
24,253.20322454941004,245.15841450351303,VET
25,268.1666666666667,262.4937504,VET
