Minisector,HUL,ERI,Fastest
0,278.7142856337373,284.5951243144697,ERI
1,248.60714914368242,250.17950319865471,ERI
2,267.0932510201504,269.8615266076234,ERI
3,277.127279748128,285.71144227724864,ERI
4,137.02326866769508,128.1227942428305,HUL
5,209.6928992874807,207.25030411687183,HUL
6,261.95510824531976,266.5842792253424,ERI
7,281.28306876046133,296.06960759215684,ERI
8,288.76576112569575,312.1069377895003,ERI
9,292.05514704313725,319.4577025065795,ERI
10,269.61573995599866,293.08507778214585,ERI
11,100.89425724712383,98.8968859179484,HUL
12,223.4167225619385,216.81233490154017,HUL
13,270.2689329696819,275.4970768211096,ERI
14,266.8530943934976,274.24652477543793,ERI
15,132.31865698687156,128.5439328357935,HUL
16,203.79559469857423,199.82818080441018,HUL
17,255.7900104261647,254.99092356914088,HUL
18,242.65964801229856,247.8580001264898,ERI
19,239.54991503132976,238.27474482496737,HUL
20,144.4261375696062,148.20344598805494,ERI
21,192.45647523660983,180.0328311772974,HUL
22,174.10849935670186,172.6077591581168,HUL
23,188.3922466777456,181.2491341991961,HUL
24,249.94765216170686,245.44373394752407,HUL
25,268.92500053333333,277.2,ERI
