Minisector,PER,OCO,Fastest
0,261.78073496088695,259.0615076266282,PER
1,280.33420715411256,276.405231122963,PER
2,288.02253811266274,283.6512952013427,PER
3,127.11930908571321,129.05535885976903,OCO
4,193.5457855256316,184.28932850285716,PER
5,247.5224866783657,248.94632237176472,OCO
6,136.7932607047104,134.95619203779805,PER
7,198.10773727502223,196.8400162761483,PER
8,256.36022638108136,251.89493943314287,PER
9,276.8494119715738,274.5551783263492,PER
10,227.87449237656568,226.77636954390616,PER
11,179.37560072613132,175.0732023369697,PER
12,186.28874105755153,182.47696464755282,PER
13,140.11568662716041,138.941198509418,PER
14,171.27517855610924,162.8792140135743,PER
15,156.09730204629582,148.04994470126843,PER
16,213.9933366828623,208.45718133541124,PER
17,228.16139726666665,226.71439872358914,PER
18,228.43034403555555,230.36424930763752,OCO
19,243.29915538644912,233.80974461008816,PER
20,145.87314706407113,139.54691838973548,PER
21,138.63473105809996,134.81196795009757,PER
22,165.23114198162963,156.58403307760685,PER
23,146.3419403525541,141.59723042231323,PER
24,225.0974142143733,219.0445765089524,PER
25,248.76388622222223,247.4249984,PER
