Minisector,HAM,GRO,Fastest
0,285.8466508243266,288.6389498408931,GRO
1,253.89136411225485,243.01175212765827,HAM
2,269.81100076286384,271.18021843671767,GRO
3,278.7740648235433,291.29398325692694,GRO
4,138.1995312408636,126.28526380385998,HAM
5,211.9516835856176,211.17885536939448,HAM
6,266.56611062332314,273.6902814741148,GRO
7,285.276731490437,301.025729743594,GRO
8,294.3536457111111,314.61901583243485,GRO
9,299.2263020666667,322.68452256969874,GRO
10,287.0921545512954,298.7858821158934,GRO
11,105.99688812471163,104.99769352308557,HAM
12,223.45570279458127,224.47923785360646,GRO
13,272.67527623609317,273.122427462549,GRO
14,278.62773530817714,268.2585838776693,HAM
15,140.6801993035163,131.70762672258533,HAM
16,213.6488580192689,208.29359344205935,HAM
17,260.5740571079148,259.49125348752824,HAM
18,265.40900009170963,253.65899104561404,HAM
19,250.58337464665806,245.3851652309691,HAM
20,158.02206531160647,146.92744346988036,HAM
21,196.79618052377023,197.2041961161953,GRO
22,183.69722418347752,169.53945266850658,HAM
23,196.65033716629858,189.474225342853,HAM
24,255.0273729693259,252.83773388138846,HAM
25,274.31840806158266,,HAM
