Minisector,BEA,HUL,Fastest
0,324.3512756825397,307.83250756471676,BEA
1,225.875805985974,246.9282142857143,HUL
2,130.0266966138273,127.47688337372176,BEA
3,216.70515164223605,216.75039285714288,HUL
4,261.1423311632567,261.9404370443476,HUL
5,288.6562663335845,287.40245535714286,BEA
6,304.52343175887955,303.65208333333334,BEA
7,268.4690041596761,303.76447601122914,HUL
8,174.08035633085197,173.18752727272727,BEA
9,242.1722357664413,235.7610755683969,BEA
10,273.90042713766235,270.8424970345295,BEA
11,269.0597646608354,273.68659226190476,HUL
12,203.22678340902692,207.72053744927535,HUL
13,120.94504767352304,127.78372612565782,HUL
14,121.58902564955211,118.68667914770212,BEA
15,163.35725282907498,171.10857280912336,HUL
16,122.00247756188914,120.28697424314255,BEA
17,230.3563834115389,221.18839276461136,BEA
18,178.8466630247619,189.79423393250303,HUL
19,159.36430274553044,152.90390762354463,BEA
20,244.84204884723246,242.14686716791982,BEA
21,275.83330992887335,273.2060884246726,BEA
22,295.13450609333336,292.00417748506237,BEA
23,313.5616426109904,310.4589285714286,BEA
24,323.8158097188571,319.820030434388,BEA
25,,320.06041653333335,HUL
