Minisector,NOR,STR,Fastest
0,288.9807528235615,287.07244636168303,NOR
1,301.3560127612174,299.2388890122449,NOR
2,305.67104165333336,303.2654849797896,NOR
3,306.9124615171006,296.7211010590476,NOR
4,246.29971690931677,251.79044962133332,STR
5,194.55693818902503,184.95415385899443,NOR
6,258.1581784937098,255.1504223301587,NOR
7,279.2325672778504,276.5197025438963,NOR
8,214.2519598618502,199.35698883440858,NOR
9,211.23964029729382,202.35756900571855,NOR
10,136.67105703198547,142.6949964260646,STR
11,246.3158143971812,249.55744972663004,STR
12,275.91111175247016,271.99563484444445,NOR
13,218.15351667640257,227.21580689063535,STR
14,262.2002417366886,261.9363617590062,NOR
15,226.55921035910424,217.7861978041119,NOR
16,181.37830044151244,181.08799152941177,NOR
17,258.584958402202,256.513572074306,NOR
18,149.71004265494506,144.5179921939394,NOR
19,207.8007444442239,214.8992557326564,STR
20,274.4152618402646,274.84697037575756,STR
21,290.7227238130066,286.7849791234774,NOR
22,162.2436945016544,157.92446896892667,NOR
23,178.85373919146136,180.33561062229023,STR
24,258.2976419248527,260.89857328517286,STR
25,278.7375008,,NOR
