Minisector,PER,LEC,Fastest
0,269.52387246547863,273.16798514622826,LEC
1,291.6524077035498,290.7149627726077,PER
2,283.4763895163823,283.5306042853017,LEC
3,156.73931747887957,153.3652125025686,PER
4,192.30004616097108,196.6083934371105,LEC
5,167.8112922816259,170.57389412101392,LEC
6,157.3229982556391,167.33015314869155,LEC
7,183.28128014943348,191.757254154357,LEC
8,235.24137475566883,238.2382426625641,LEC
9,229.35852198772457,235.7067524794558,LEC
10,141.34639558919247,145.3624253376541,LEC
11,218.3741441611729,216.2545337103351,PER
12,104.43311963228987,110.88108890243996,LEC
13,212.7929616336939,207.03951440965224,PER
14,264.9914977004316,262.04944867555554,PER
15,272.9281378937198,277.23093795741573,LEC
16,169.79553783015643,180.23884868529964,LEC
17,152.1582498030044,154.24294670339438,LEC
18,250.0329074333054,251.73899363149437,LEC
19,281.2033806714834,280.58817915833,PER
20,294.56862772298365,291.6358311977022,PER
21,287.9401655185083,286.81837412756227,PER
22,232.3840602748924,256.0140360843739,LEC
23,100.17622373091719,102.985327370476,LEC
24,216.44392655069146,214.12177033906323,PER
25,254.520832,255.71642642285715,LEC
