Minisector,HAM,ALO,Fastest
0,270.2151945904762,271.448582776,ALO
1,246.90816801845375,247.82534509968255,ALO
2,113.25471106895122,116.61604820032521,ALO
3,172.0893703238249,170.59667857460317,HAM
4,186.44389010846572,192.12233956915352,ALO
5,196.19172493731799,198.2528755978836,ALO
6,263.53543795671,264.555985674908,ALO
7,286.546520068129,289.46210467463203,ALO
8,234.93308013876828,219.19283026845,HAM
9,139.32905007864397,146.50025514417692,ALO
10,116.25790208983479,121.4562082415142,ALO
11,143.63778671228616,150.39905676523907,ALO
12,244.6980176777143,244.21463200484848,HAM
13,146.824223381822,146.14279487377982,HAM
14,150.18842323276334,148.5360499743922,HAM
15,106.76460460155606,104.32466047710157,HAM
16,215.97371230983393,215.72786261671956,HAM
17,232.6214337219131,233.8386867506897,ALO
18,128.28996831989818,128.57798969558442,ALO
19,239.41717771398118,240.77569957185185,ALO
20,274.6685491224242,277.2246234927561,ALO
21,192.6118321767007,202.94627820571404,ALO
22,152.85511269238094,148.4122404203896,HAM
23,215.55023216971853,212.51030110827838,HAM
24,234.77268956359322,228.37173581240287,HAM
