Minisector,NOR,OCO,Fastest
0,280.3678302693428,280.333519874188,NOR
1,297.06990300416334,300.189181095524,OCO
2,293.6058928304762,296.50912177342406,OCO
3,179.8584346968978,171.8142892524108,NOR
4,215.85385607628862,210.23466100634923,NOR
5,202.7629560207663,197.83975069421558,NOR
6,180.8539036241903,170.81243078629637,NOR
7,202.99314155291657,194.57314603413633,NOR
8,256.06271517719415,248.8940306727202,NOR
9,269.10138423596044,256.2926704499471,NOR
10,169.66634325841218,161.48781017932467,NOR
11,238.7482314756765,229.25276182474994,NOR
12,113.33405150978051,110.50848813286048,NOR
13,218.39925474528027,219.64480294830759,OCO
14,274.3270505720146,274.1835156305589,NOR
15,292.46985029841267,289.35559255188406,NOR
16,219.43354085436752,204.90338431448043,NOR
17,185.50417932222527,173.72977977937595,NOR
18,264.4041595198984,262.3908343372604,NOR
19,290.49214803371905,291.0978458184748,OCO
20,302.25728390977446,303.8726983212698,OCO
21,301.45232782608696,305.4994749615427,OCO
22,253.3646294453928,262.82875485348677,OCO
23,117.40578351800926,113.13008449919414,NOR
24,235.9542690676187,234.63532364003788,NOR
25,267.8625024,,NOR
