Minisector,HAM,HUL,Fastest
0,250.89174637714285,257.6965282573545,HUL
1,140.301917269394,134.4453235510204,HAM
2,265.7187508571429,266.2716490269624,HUL
3,306.02397899701856,308.7768760496894,HUL
4,303.89666653866664,308.7513128237881,HUL
5,310.5034852396393,316.64422115555556,HUL
6,314.78858508888885,321.848462215873,HUL
7,313.9138814480082,317.4505517513225,HUL
8,212.12212197248675,207.04428065957984,HAM
9,203.5824688170887,191.54166555428571,HAM
10,194.1756720221916,187.55994988476192,HAM
11,170.68979666141087,165.34859253085222,HAM
12,248.8695844977778,248.06529405957448,HAM
13,276.4332671362556,269.60654834285714,HAM
14,280.6059635942301,275.37574987373887,HAM
15,279.7125970621177,273.5873528181576,HAM
16,192.53914389478612,183.15537120761905,HAM
17,198.9563800368243,192.88052454603175,HAM
18,241.9753453171886,238.89605208142078,HAM
19,287.043927678423,283.734744081717,HAM
20,306.05430487159106,307.2471067897683,HUL
21,314.2579709217391,316.5512090586654,HUL
22,312.1610188398608,312.0787010583851,HAM
23,261.97924918752057,265.52939549950736,HUL
24,118.83169423063886,115.86545387384474,HAM
25,230.25,229.69999786666665,HAM
