Minisector,PER,OCO,Fastest
0,248.41114573019132,248.73122927871657,OCO
1,214.49268704131686,202.62453015308643,PER
2,195.15330142037396,199.9125422544762,OCO
3,252.3961282733073,254.94090408285714,OCO
4,269.2830848736508,268.9710066535065,PER
5,288.33719580444443,281.6212748838095,PER
6,175.78163600093353,169.67135528853382,PER
7,172.20979807922566,173.97271945714488,OCO
8,265.32554233627707,261.0039836495238,PER
9,291.49808682601207,289.8025342903319,PER
10,303.9379887934694,299.3396142670017,PER
11,304.9792849907056,295.3211904761905,PER
12,114.23014304253968,115.49798717886725,OCO
13,182.19845702737504,180.16860813904609,PER
14,268.49236391102465,264.4556134972583,PER
15,294.8359893768575,291.2989491649926,PER
16,301.3876867121344,292.04039337989417,PER
17,184.85998506119142,184.4330578147384,PER
18,217.9152854626176,213.62706978777265,PER
19,262.5529462466032,257.8095114686456,PER
20,156.87139854686475,156.6663735789899,PER
21,139.70127910290398,139.02085781474304,PER
22,215.78078314113378,212.64630420402924,PER
23,236.9507211823666,233.35180775411254,PER
24,149.41032703293843,155.40947023937005,OCO
25,220.89999786666667,223.5312504,OCO
