Minisector,GIO,PER,Fastest
0,314.86064667745853,310.036088095577,GIO
1,223.5807135063403,224.3753319290508,PER
2,135.35458538965736,136.59143792087073,PER
3,221.9995123073441,220.08861939538127,GIO
4,265.9213130588566,263.8904336620457,GIO
5,291.6825038545855,289.39579839278605,GIO
6,308.15997566550163,305.35493116143107,GIO
7,270.6627932648111,265.43239361887487,GIO
8,169.38486950176042,172.20407566527717,PER
9,245.3633516279494,242.86073678807534,GIO
10,276.5382464112273,274.35787967910636,GIO
11,255.42645776047138,255.15713309035698,GIO
12,204.36335377684162,204.63002503997146,PER
13,121.65690235953407,125.2170618125018,PER
14,128.3147286781746,126.6086767644553,GIO
15,164.00094436252536,159.8187574736149,GIO
16,125.50268392582542,132.54061417291078,PER
17,236.39410527688725,232.14061058922275,GIO
18,173.283179194523,170.3897962516117,GIO
19,166.8776862011618,176.59264580603102,PER
20,251.1116103489762,251.4989826168939,PER
21,280.37987511141966,277.1268947473765,GIO
22,301.20546448610344,292.4825390082382,GIO
23,318.88645773935065,305.0586820529052,GIO
24,330.05357142857144,310.15149203838627,GIO
25,333.4291669333333,,GIO
