Minisector,HAM,RIC,Fastest
0,262.8482457263158,272.5669043279438,RIC
1,296.9365170579788,296.98194474666667,RIC
2,310.8209328,310.6088891022222,HAM
3,319.64974598165793,319.9089286857143,RIC
4,324.5854166857143,325.8061111466667,RIC
5,327.44481299591837,329.6167411047619,RIC
6,282.46176269803925,212.99166978235587,HAM
7,116.6571866504602,108.5104027603513,HAM
8,149.7217455311629,188.23162218435323,RIC
9,251.04890414035086,262.5397062901961,RIC
10,288.72526073333336,293.38586373614015,RIC
11,231.25467476049403,183.25507297330395,HAM
12,93.94797403424116,98.892387226279,RIC
13,113.39396004484925,115.14981074686717,RIC
14,214.50357211428573,226.31837913365013,RIC
15,196.1744285927619,187.24733239466667,HAM
16,222.96570234198708,223.3197418031746,RIC
17,195.5388888888889,181.0129795692308,HAM
18,221.42434457142858,237.99517411929824,RIC
19,271.8230393098039,278.4956957266014,RIC
20,289.50946714626565,265.40774086772484,HAM
21,155.8471288275862,151.0768647568254,HAM
22,102.76497128887652,98.17347460145258,HAM
23,123.75450372612613,126.07194103997433,RIC
24,205.3366496015959,219.32395260368617,RIC
25,,255.74444373333336,RIC
