Minisector,RAI,PER,Fastest
0,327.1565733116949,310.036088095577,RAI
1,225.13508566936534,224.3753319290508,RAI
2,130.93833792289976,136.59143792087073,PER
3,221.0607316474277,220.08861939538127,RAI
4,265.84619328164945,263.8904336620457,RAI
5,297.3308627696749,289.39579839278605,RAI
6,318.82876862316226,304.9785932388598,RAI
7,276.8146889711096,279.4760848867212,PER
8,166.214400694095,172.46568930823358,PER
9,241.21644755087718,241.85340714534246,PER
10,275.6758429298261,273.18140909087106,RAI
11,260.9537729083216,259.0293553125792,RAI
12,204.04970972161323,204.94960732997265,PER
13,125.1846751342852,125.41753575173796,PER
14,123.94956658677084,125.1086767644553,PER
15,163.0820101812421,169.08148148864507,PER
16,121.87363151546364,124.56613560774908,PER
17,231.57772808776204,228.75375611672007,RAI
18,176.61885939669517,177.71055764590443,PER
19,164.32394896135122,168.28400383072238,PER
20,249.3042778741994,247.30904344368315,RAI
21,277.80041093605297,275.3912656938812,RAI
22,295.99580674833777,291.6825390082382,RAI
23,312.0668498426288,304.2625941897656,RAI
24,323.02867727800464,309.61815870505296,RAI
25,,312.0,PER
