Minisector,VER,MSC,Fastest
0,288.0461948355019,295.54921399602216,MSC
1,291.92128662,307.10966698666664,MSC
2,173.01803707044368,164.89709396651637,VER
3,221.4721544909804,216.65418164299143,VER
4,270.095889158394,268.08038075933194,VER
5,292.67130199997166,286.9977777840506,VER
6,302.9562242742857,293.9221727238095,VER
7,180.95261278056884,188.3169104279123,MSC
8,124.3202697691003,120.161212252821,VER
9,251.60553722893317,244.9748872292641,VER
10,293.57863856839987,280.8854199547339,VER
11,307.4732043342857,288.51420624762176,VER
12,148.57492820924256,147.01528146787598,VER
13,180.58897741721262,183.69045698132584,MSC
14,255.95735056427134,251.25132518977773,VER
15,209.0753066569697,196.97276057840176,VER
16,216.17645328974197,210.25386988032335,VER
17,219.30134376699897,208.77220983848926,VER
18,249.6107063573333,234.57592665881893,VER
19,278.4614032673103,270.6806020261661,VER
20,295.7082138379832,287.54067932888887,VER
21,270.1922222114486,257.53200632800787,VER
22,229.0617370926089,220.088619656922,VER
23,208.76507662268398,195.72707064853392,VER
24,263.67193472329143,259.18977646285714,VER
25,280.1625,278.5,VER
