Minisector,OCO,NOR,Fastest
0,300.00987658271606,300.60758380811285,NOR
1,239.21403236017315,239.04318131722152,OCO
2,130.74660131781877,131.9895233220487,NOR
3,235.61884802288395,239.2851559,NOR
4,193.53536355555556,189.43235484588718,OCO
5,250.309479752694,246.47623794087517,OCO
6,234.54966301525633,232.75791786157885,OCO
7,259.3764072636518,258.8815376713574,OCO
8,283.4247598237883,285.35267874285717,NOR
9,209.39528994190346,205.03558174497564,OCO
10,205.56907508795135,203.6477008926641,OCO
11,265.6110517079365,271.146018384297,NOR
12,217.67831280850547,209.97083520186888,OCO
13,249.4768464927106,251.3997581856393,NOR
14,288.54249367190755,292.0097667265708,NOR
15,299.49666666666667,303.54016674133334,NOR
16,295.07100723230036,298.4668204246914,NOR
17,246.41692676666668,231.3793707932775,OCO
18,269.55058773350834,271.6846732571429,NOR
19,294.94727573333336,297.9941831892818,NOR
20,300.4004998826667,303.14633326933335,NOR
21,292.5429328122649,292.858544747231,NOR
22,153.41954437039954,151.92581596862746,OCO
23,234.53916253067604,240.0958346952381,NOR
24,284.3407071472698,288.46761442904136,NOR
