Minisector,NOR,VER,Fastest
0,307.36393245306147,304.8286494532416,NOR
1,322.6656847919098,327.41584548741025,VER
2,303.1099381669759,282.18698577632654,NOR
3,103.50376814201331,105.95947036184491,VER
4,226.58921877454918,227.41926495002153,VER
5,282.4353983180375,288.547539047619,VER
6,221.53602155530407,194.32476599692052,NOR
7,154.42313993943014,152.6659877155717,NOR
8,209.2446521727556,208.6098524804081,NOR
9,210.05922418864816,211.9009426978155,VER
10,115.58243003747066,119.17644487564752,VER
11,228.48203090926108,228.73097383836736,VER
12,115.55559042266943,116.46822816154643,VER
13,221.21738493034925,225.98742093732835,VER
14,275.7271738434783,277.1082253331839,VER
15,216.90515965504048,204.44708925597982,NOR
16,180.8547500905428,188.6894911666939,VER
17,244.1113292431527,246.08595942626263,VER
18,200.79095526511435,184.8833368800611,NOR
19,180.33575018030646,186.49381850922944,VER
20,263.44552722165577,266.66384142237865,VER
21,288.8275538011297,291.19652801066667,VER
22,176.91582923715876,156.9237572492932,NOR
23,210.8096588707648,219.28063769533378,VER
24,271.7246014737572,273.6620046324285,VER
