Minisector,VET,MAG,Fastest
0,268.42814650340136,273.0316488378117,MAG
1,284.97197747854557,289.1298406117647,MAG
2,291.01164807370947,292.5232462917293,MAG
3,127.15828795088505,128.46888286458048,MAG
4,199.9759602465915,204.26435338901098,MAG
5,253.99256744336392,252.0185304533198,VET
6,142.99277972142903,140.6616150929215,VET
7,212.6498170662821,211.28246602758455,VET
8,258.844614646712,261.3781742730159,MAG
9,276.9462796647619,279.88167100380986,MAG
10,242.11427269988033,233.76016027614295,VET
11,178.41270713780548,180.23362227711212,MAG
12,201.49871955434574,197.63562258723104,VET
13,144.19941562259226,145.20079889793848,MAG
14,185.6855447591052,182.75331383873018,VET
15,164.60102798499278,166.65470976682585,MAG
16,221.26440986599138,223.43051203312626,MAG
17,239.1621376,236.03267603208678,VET
18,244.71702854492753,239.86983033062793,VET
19,234.75381536678896,225.2720500888889,VET
20,144.53622804926016,147.02624615685804,MAG
21,131.53859128888888,130.82562427273302,VET
22,177.23608442500193,176.57561439262673,VET
23,151.84342298950992,153.07480384624176,MAG
24,231.62965834135704,235.4484367111111,MAG
25,256.4916672,,VET
